           1 ,  4.000000000000097E-006
          11 ,  4.000000000000097E-006
          21 ,  1.200000000000007E-005
          31 ,  3.299999999999983E-005
          41 ,  6.299999999999991E-005
          51 ,  1.270000000000002E-004
          61 ,  1.839999999999999E-004
          71 ,  2.170000000000002E-004
          81 ,  3.000000000000004E-004
          91 ,  4.250000000000000E-004
         101 ,  5.950000000000000E-004
         111 ,  6.229999999999999E-004
         121 ,  6.680000000000002E-004
         131 ,  7.680000000000005E-004
         141 ,  9.220000000000001E-004
         151 ,  1.139000000000000E-003
         161 ,  1.290000000000000E-003
         171 ,  1.561000000000000E-003
         181 ,  2.548999999999999E-003
         191 ,  2.201000000000000E-003
         201 ,  2.709999999999999E-003
         211 ,  4.324000000000001E-003
         221 ,  3.292000000000000E-003
         231 ,  3.751999999999998E-003
         241 ,  4.368999999999998E-003
         251 ,  5.577000000000006E-003
         261 ,  5.268000000000002E-003
         271 ,  6.273000000000001E-003
         281 ,  6.686000000000004E-003
         291 ,  7.533000000000005E-003
         301 ,  9.209999999999996E-003
         311 ,  9.480000000000002E-003
         321 ,  1.047200000000000E-002
         331 ,  1.237800000000000E-002
         341 ,  1.336500000000000E-002
         351 ,  1.363000000000000E-002
         361 ,  1.485299999999998E-002
         371 ,  1.635899999999998E-002
         381 ,  1.854000000000000E-002
         391 ,  1.898300000000000E-002
         401 ,  1.917199999999999E-002
         411 ,  2.245900000000001E-002
         421 ,  2.241900000000002E-002
         431 ,  2.491200000000005E-002
         441 ,  2.910000000000001E-002
         451 ,  2.945899999999996E-002
         461 ,  3.149600000000002E-002
         471 ,  3.155300000000000E-002
         481 ,  3.276100000000004E-002
         491 ,  3.403000000000000E-002
         501 ,  3.713700000000003E-002
         511 ,  3.932000000000002E-002
         521 ,  4.018400000000000E-002
         531 ,  4.508199999999996E-002
         541 ,  4.572500000000002E-002
         551 ,  4.789999999999994E-002
         561 ,  5.057600000000007E-002
         571 ,  5.280800000000008E-002
         581 ,  5.455899999999991E-002
         591 ,  5.724099999999999E-002
         601 ,  6.087499999999990E-002
         611 ,  6.454900000000019E-002
         621 ,  6.683299999999992E-002
         631 ,  7.148500000000002E-002
         641 ,  7.193000000000005E-002
         651 ,  7.631799999999989E-002
         661 ,  8.194300000000010E-002
         671 ,  8.665799999999990E-002
         681 ,  9.896499999999975E-002
         691 ,  9.010999999999991E-002
         701 ,  9.421100000000004E-002
         711 ,  0.100032000000000     
         721 ,  0.102031000000000     
         731 ,  0.106039000000000     
         741 ,  0.109641000000000     
         751 ,  0.114713000000000     
         761 ,  0.119463000000000     
         771 ,  0.124482000000000     
         781 ,  0.151015000000000     
         791 ,  0.134016000000000     
         801 ,  0.142488000000000     
         811 ,  0.143432000000000     
         821 ,  0.148585000000000     
         831 ,  0.155727000000000     
         841 ,  0.157879000000000     
         851 ,  0.163763000000000     
         861 ,  0.170843000000000     
         871 ,  0.176130000000000     
         881 ,  0.186063000000000     
         891 ,  0.187024000000000     
         901 ,  0.193566000000001     
         911 ,  0.211585000000000     
         921 ,  0.208935000000000     
         931 ,  0.221717000000000     
         941 ,  0.221807999999999     
         951 ,  0.257960000000000     
         961 ,  0.232613000000000     
         971 ,  0.242535999999999     
         981 ,  0.248574000000000     
         991 ,  0.256192000000000     
        1001 ,  0.285352000000000  
